,Brand,Model,Year,Kilometers,No_of_owners,Fuel,Variant,Price
4189,--,--,2021,0 km,--,--,--,"₹ 5,20,000"
4190,--,--,2006,"46,850 km",--,--,--,"₹ 7,92,000"
4191,Ford,Figo,2014,"120,000 km",2nd,Diesel,Duratorq ZXI 1.4,"₹ 2,50,000"
4192,Honda,Accord,2010,"73,400 km",2nd,Petrol,Accord 2.4 Manual,"₹ 4,95,000"
4193,Mahindra,Bolero Pik-Up,2006,15 km,3rd,Diesel,FB 1.25T,"₹ 2,90,000"
4194,Ford,Fiesta,2012,25 km,1st,Diesel,2008-2011 EXi 1.4 TDCi Ltd,"₹ 3,50,000"
4195,Other Brands,Others,2016,0 km,2nd,Electric,--,"₹ 1,15,000"
4196,Chevrolet,Tavera,2010,"370,000 km",2nd,Diesel,Others,"₹ 3,20,000"
4197,Ford,Ecosport,2014,"155,000 km",1st,Diesel,1.5 TDCi Titanium,"₹ 6,00,000"
4198,Honda,Mobilio,2014,"55,000 km",1st,Diesel,V i-DTEC,"₹ 5,95,000"
4199,Hyundai,i20,2015,"95,000 km",1st,Diesel,2012-2014 Era 1.4 CRDi,"₹ 4,25,000"
4200,Mercedes-Benz,E-Class,2013,"70,300 km",1st,Diesel,220 CDI,"₹ 20,00,000"
4201,Maruti Suzuki,Alto K10,2013,"63,000 km",2nd,Petrol,LXI Optional,"₹ 1,90,000"
4202,Maruti Suzuki,Alto K10,2019,"43,639 km",1st,Petrol,VXI,"₹ 3,80,000"
4203,--,--,--,--,--,--,--,₹ 180
4204,Hyundai,i10,2011,"65,000 km",1st,Petrol,Sportz,"₹ 2,65,000"
4205,Maruti Suzuki,Alto 800,2018,"41,000 km",1st,Petrol,LXI,"₹ 3,10,000"
4206,Hyundai,i10,2010,"63,000 km",2nd,Petrol,2007-2010 Era 1.1,"₹ 2,25,000"
4207,Hyundai,Creta,2015,"85,000 km",2nd,Diesel,1.6 SX Automatic Diesel,"₹ 9,25,000"
4208,Maruti Suzuki,Baleno,2018,"72,000 km",1st,Diesel,Delta,"₹ 6,80,000"
4209,Mahindra,Verito,2012,"93,611 km",1st,Diesel,1.5 D4,"₹ 2,50,000"
4210,Toyota,Fortuner,2012,"235,000 km",1st,Diesel,3.0 Limited Edition,"₹ 13,50,000"
4211,Hyundai,Verna,2013,"76,000 km",1st,Diesel,2011-2014 1.6 CRDI,"₹ 5,50,000"
4212,Maruti Suzuki,Swift Dzire,2013,"79,951 km",1st,Diesel,ZDI,"₹ 5,35,000"
4213,Maruti Suzuki,Swift,2011,"85,000 km",2nd,Diesel,VDI,"₹ 3,50,000"
4214,Toyota,Etios Liva,2016,"72,411 km",1st,Diesel,2014-2016 GD,"₹ 5,50,000"
4215,Maruti Suzuki,Alto K10,2018,"64,728 km",1st,Petrol,VXI,"₹ 3,80,000"
4216,Toyota,Etios,2016,"75,261 km",1st,Diesel,2014-2016 GD,"₹ 6,00,000"
4217,Hyundai,i20,2014,"87,000 km",2nd,Diesel,2010-2012 1.4 CRDi Magna,"₹ 5,35,000"
4218,--,--,2006,"51,485 km",--,--,--,"₹ 7,88,000"
4219,Tata,Nexon,2019,"19,000 km",1st,Petrol,--,"₹ 7,75,000"
4220,Toyota,Innova,2014,"125,000 km",1st,Diesel,2.5 G (Diesel) 8 Seater,"₹ 7,25,000"
4221,Hyundai,i20,2014,"75,890 km",2nd,Diesel,2012-2014 Sportz 1.4 CRDi,"₹ 4,00,000"
4222,Mahindra,Others,2005,15 km,2nd,Diesel,Others,"₹ 1,00,000"
4223,Tata,Indigo Ecs,2015,"90,000 km",1st,Diesel,eCS LS TDI,"₹ 1,00,000"
