,Brand,Model,Year,Kilometers,No_of_owners,Fuel,Variant,Price
0,Jeep,Compass,2017,"32,000 km",1st,Diesel,2.0 Sport,"₹ 12,95,000"
1,Toyota,Innova,2015,"227,000 km",1st,Diesel,2.5 Z Diesel 7 Seater,"₹ 13,38,000"
2,BMW,5 Series,2018,"26,500 km",1st,Diesel,520d Luxury Line,"₹ 53,00,000"
3,--,--,--,--,--,--,--,--
4,Bajaj,RE60,2017,"20,000 km",2nd,Petrol,Qute Petrol,"₹ 1,45,000"
5,Hyundai,i10,2012,"166,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 1,85,000"
6,Maruti Suzuki,Alto 800,2017,"48,000 km",1st,Petrol,2012-2016 VXI Airbag,"₹ 3,30,000"
7,Toyota,Innova Crysta,2021,0 km,--,Diesel,2.4 GX MT,"₹ 23,14,331"
8,--,--,--,--,--,--,--,₹ 999
9,Toyota,Fortuner,2012,"142,000 km",1st,Diesel,3.0 4x2 Automatic,"₹ 11,50,000"
10,BMW,X1,2017,"36,500 km",1st,Diesel,sDrive20d Expedition,"₹ 24,00,000"
11,Mercedes-Benz,CLA,2013,"100,000 km",1st,Diesel,200 CDI Sport,"₹ 15,00,000"
12,Volkswagen,Vento,2010,"74,000 km",--,Petrol,--,"₹ 3,20,000"
13,Toyota,Innova,2009,"245,000 km",2nd,Diesel,2.5 G (Diesel) 7-Seater,"₹ 5,80,000"
14,Hyundai,Accent,2006,"42,000 km",2nd,Petrol,GLS,"₹ 45,000"
15,Hyundai,Santro Xing,2008,"133,000 km",2nd,Petrol,GLS,"₹ 1,30,000"
16,Hyundai,i10,2012,"43,000 km",1st,Petrol,2007-2010 Era 1.1,"₹ 2,65,000"
17,--,--,2021,"123,456 km",--,--,--,"₹ 10,000"
18,Hyundai,i20,2013,"56,904 km",1st,Petrol,2012-2014 Sportz 1.2,"₹ 3,70,000"
19,Tata,Indigo Ecs,2014,"130,000 km",4th,Diesel,Others,"₹ 1,90,000"
20,Hyundai,Grand i10,2014,"46,316 km",1st,Petrol,1.2 Kappa Sportz Option,"₹ 4,50,000"
21,Maruti Suzuki,Swift Dzire,2018,"66,000 km",1st,Diesel,Swift Dzire Tour,"₹ 5,20,000"
22,Maruti Suzuki,Vitara Brezza,2017,"104,802 km",1st,Diesel,ZDi Plus,"₹ 8,85,000"
23,Hyundai,Venue,2019,"24,000 km",1st,Diesel,SX Opt Diesel,"₹ 11,75,000"
24,Toyota,Innova,2015,"72,000 km",1st,Diesel,2.5 GX (Diesel) 8 Seater BS IV,"₹ 8,25,000"
25,Mahindra,Xylo,2016,"76,900 km",1st,Diesel,H4 ABS,"₹ 6,25,000"
26,Honda,WR-V,2019,"27,730 km",1st,Petrol,i-VTEC VX,"₹ 8,75,000"
27,Mercedes-Benz,New C-Class,2015,"55,000 km",1st,Diesel,C 220 CDI Avantgarde,"₹ 24,49,000"
28,Hyundai,i10,2013,"82,000 km",2nd,Petrol,Era,"₹ 2,45,000"
29,Maruti Suzuki,Wagon R,2004,"59,000 km",1st,Petrol,LXI,"₹ 1,40,000"
30,Maruti Suzuki,Eeco,2011,"85,000 km",1st,Petrol,7 Seater Standard,"₹ 2,39,000"
31,Mahindra,Bolero,2012,"78,000 km",1st,Diesel,SLE,"₹ 4,45,000"
32,Maruti Suzuki,Swift,2012,"84,000 km",1st,Diesel,DDiS LDI,"₹ 3,71,000"
33,--,--,--,--,--,--,--,"₹ 2,00,00,000"
34,Maruti Suzuki,Wagon R 1.0,2018,"34,000 km",1st,Petrol,1.0 VXi,"₹ 4,55,000"
35,Toyota,Etios Liva,2012,"87,000 km",1st,Diesel,TRD Sportivo Diesel Ltd,"₹ 2,68,000"
36,Renault,Duster,2016,"103,000 km",2nd,Diesel,110PS Diesel RxL AMT,"₹ 7,80,000"
37,Hyundai,Grand i10,2017,"72,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 4,25,000"
38,Hyundai,EON,2014,"42,000 km",1st,Petrol,1.0 Era Plus,"₹ 2,40,000"
39,Skoda,Rapid,2015,"68,000 km",1st,Diesel,1.5 TDI AT Ambition,"₹ 5,95,000"
40,--,--,--,--,--,--,--,--
41,--,--,--,--,--,--,--,
42,Honda,City,2018,"12,316 km",1st,Petrol,i-VTEC CVT VX,"₹ 12,20,000"
43,Mercedes-Benz,GL-Class,2013,"52,000 km",2nd,Diesel,350 CDI,"₹ 30,50,000"
44,Hyundai,i10,2014,"89,000 km",1st,Petrol,1.2 Kappa Magna,"₹ 3,50,000"
45,Maruti Suzuki,Baleno,2016,"69,000 km",1st,Petrol,1.2 Delta,"₹ 5,95,000"
46,Maruti Suzuki,Swift,2014,"35,503 km",1st,Diesel,VDI BS IV,"₹ 4,10,000"
47,Volkswagen,Passat,2009,"116,500 km",2nd,Diesel,2007-2010 Highline DSG S (Spl. Edition),"₹ 4,65,000"
48,Hyundai,Verna,2011,"134,000 km",2nd,Diesel,CRDi 1.6 AT SX Option,"₹ 4,00,000"
49,Skoda,Laura,2008,"150,000 km",2nd,Diesel,Laura 1.9 TDI AT Elegance,"₹ 2,25,000"
50,Maruti Suzuki,Ritz,2010,"46,000 km",1st,Petrol,LXi,"₹ 2,65,000"
51,Maruti Suzuki,Wagon R,2013,"72,000 km",1st,Petrol,VXI,"₹ 3,65,000"
52,Maruti Suzuki,Swift,2007,"85,000 km",2nd,Petrol,VXI,"₹ 2,80,000"
53,--,--,--,--,--,--,--,"₹ 40,99,999"
54,Tata,Indica Vista,2010,"127,000 km",2nd,Diesel,Terra Quadrajet BS-III,"₹ 1,42,000"
55,Hyundai,Creta,2017,"112,000 km",1st,Diesel,1.4 CRDi Base,"₹ 8,25,000"
56,Hyundai,Elite i20,2017,"108,000 km",1st,Diesel,Asta 1.2,"₹ 6,25,000"
57,Honda,City,2009,"120,000 km",1st,Petrol,2008-2011 1.5 S AT,"₹ 4,25,000"
58,Maruti Suzuki,Eeco,2020,"26,000 km",1st,Petrol,5 Seater AC,"₹ 4,60,000"
59,Renault,KWID,2020,"15,320 km",1st,Petrol,Climber 1.0 AMT Opt,"₹ 4,75,000"
60,Maruti Suzuki,Celerio,2015,"73,717 km",1st,Petrol,2014-2017 VXI,"₹ 3,10,000"
61,Tata,Nano,2015,"79,890 km",1st,Petrol,2012-2015 Twist XT,"₹ 1,35,000"
62,Maruti Suzuki,XL6,2019,"21,357 km",1st,Petrol,Zeta,"₹ 9,25,000"
63,Toyota,Etios Liva,2013,"44,000 km",1st,Diesel,2013-2014 GD,"₹ 4,85,000"
64,Toyota,Yaris,2018,"35,000 km",1st,Petrol,VX,"₹ 9,90,000"
65,Hyundai,EON,2015,"24,625 km",1st,Petrol,Era +,"₹ 2,60,000"
66,--,--,2021,0 km,--,--,--,"₹ 5,20,000"
67,--,--,2005,"48,056 km",--,--,--,"₹ 7,92,000"
68,Maruti Suzuki,Swift,2017,"32,848 km",1st,Petrol,ZXI,"₹ 6,35,000"
69,Honda,Brio,2017,"4,000 km",1st,Petrol,1.2 S MT,"₹ 4,70,000"
70,--,--,2021,0 km,--,--,--,"₹ 5,20,000"
71,--,--,2021,0 km,--,--,--,"₹ 5,20,000"
72,--,--,2021,0 km,--,--,--,"₹ 5,20,000"
73,--,--,--,--,--,--,--,--
74,Ford,Figo,2013,"43,000 km",1st,Diesel,2012-2015 Diesel ZXI,"₹ 3,85,000"
75,Ford,Figo,2014,"55,426 km",1st,Diesel,1.2P Titanium Plus MT,"₹ 3,40,000"
76,Mahindra,KUV 100,2016,"47,000 km",2nd,Diesel,2016-2017 mFALCON D75 K6 Plus,"₹ 4,50,000"
77,Hyundai,Elite i20,2018,"30,000 km",1st,Petrol,Sportz 1.2 OPT,"₹ 6,90,000"
78,--,--,2006,"50,732 km",--,--,--,"₹ 7,81,000"
79,--,--,2005,"48,764 km",--,--,--,"₹ 7,84,000"
80,Honda,Amaze,2015,"61,000 km",2nd,Petrol,S i-VTEC,"₹ 3,99,999"
81,--,--,--,--,--,--,--,"₹ 55,00,000"
82,--,--,--,--,--,--,--,--
83,Hyundai,i10,2009,"100,000 km",3rd,CNG & Hybrids,1.2 Kappa SPORTZ,"₹ 1,35,000"
84,Hyundai,Santro Xing,2013,"64,095 km",3rd,Petrol,XK eRLX EuroIII,"₹ 1,65,000"
85,Maruti Suzuki,800,2015,"51,000 km",2nd,Petrol,Std,"₹ 1,90,000"
86,Volkswagen,Polo,2011,"94,000 km",--,--,--,"₹ 2,90,000"
87,Honda,City,2014,"52,248 km",1st,Diesel,i-DTEC VX,"₹ 7,10,000"
88,Honda,Civic,2008,"69,000 km",2nd,Petrol,1.8 V AT,"₹ 3,50,000"
89,Honda,Jazz,2019,"11,000 km",1st,Petrol,VX CVT,"₹ 8,50,000"
90,Maruti Suzuki,Alto,2007,"84,000 km",3rd,Petrol,LX,"₹ 1,25,000"
91,Hyundai,Creta,2017,"46,000 km",1st,Petrol,1.6 SX Plus Auto,"₹ 11,75,000"
92,Maruti Suzuki,Swift,2018,"56,519 km",1st,Diesel,AMT ZDI,"₹ 7,85,000"
93,Honda,Amaze,2014,"86,403 km",1st,Diesel,2013-2016 VX i-DTEC,"₹ 4,85,000"
94,Renault,Duster,2013,"91,425 km",1st,Diesel,110PS Diesel RxZ,"₹ 4,20,000"
95,Datsun,GO,2018,"9,090 km",1st,Petrol,T,"₹ 3,25,000"
96,Tata,Safari Storme,2015,"42,589 km",3rd,Diesel,EX,"₹ 6,90,000"
97,Maruti Suzuki,Ertiga,2016,"75,468 km",1st,Diesel,SHVS VDI,"₹ 6,50,000"
98,Hyundai,Xcent,2014,"78,117 km",1st,Petrol,1.2 VTVT S,"₹ 3,30,000"
99,Hyundai,i10,2012,"46,000 km",2nd,Petrol,Magna 1.1 LPG,"₹ 2,95,000"
100,Ford,Freestyle,2019,"23,416 km",--,Diesel,--,"₹ 7,49,000"
101,--,--,--,--,--,--,--,"₹ 2,500"
102,Maruti Suzuki,Swift,2017,"44,237 km",--,Petrol,VXI,"₹ 4,50,000"
103,Chevrolet,Spark,2010,"80,000 km",3rd,Petrol,LT 1.0 LPG,"₹ 1,25,000"
104,Maruti Suzuki,Ciaz,2017,"27,000 km",1st,Petrol,1.4 Delta,"₹ 7,60,000"
105,Maruti Suzuki,A-Star,2010,"25,000 km",1st,Petrol,Vxi,"₹ 2,28,000"
106,Tata,Safari Storme,2013,"80,000 km",1st,Diesel,LX,"₹ 4,90,000"
107,--,--,--,--,--,--,--,
108,Maruti Suzuki,Swift,2008,"38,000 km",2nd,Petrol,2004-2010 VXI BSIII,"₹ 1,99,000"
109,Maruti Suzuki,800,2008,"58,000 km",2nd,Petrol,Others,"₹ 1,50,000"
110,Maruti Suzuki,Vitara Brezza,2018,"5,000 km",1st,Diesel,VDi,"₹ 6,50,000"
111,Hyundai,EON,2012,"52,000 km",2nd,Petrol,1.0 Magna Plus Option O,"₹ 1,80,000"
112,Maruti Suzuki,Gypsy,1989,"200,000 km",3rd,Diesel,1985-1993 MG410W HT,"₹ 3,00,000"
113,Maruti Suzuki,800,2004,"40,000 km",1st,Petrol,AC,"₹ 45,000"
114,Maruti Suzuki,Wagon R 1.0,2016,"73,000 km",2nd,Petrol,1.0 VXi,"₹ 4,15,000"
115,Tata,Vista,2012,"73,432 km",3rd,Diesel,Others,"₹ 2,00,000"
116,Honda,City,2016,"27,000 km",1st,Petrol,Others,"₹ 5,25,000"
117,Maruti Suzuki,Swift,2005,"84,000 km",2nd,Petrol,VXI,"₹ 1,95,000"
118,Maruti Suzuki,Swift,2005,"93,000 km",3rd,Petrol,2004-2010 VXI BSIII,"₹ 1,90,000"
119,Hyundai,Santro,2007,"61,000 km",2nd,Petrol,Others,"₹ 88,000"
120,Maruti Suzuki,Ciaz,2016,"25,132 km",1st,Petrol,2014-2017 ZXi Plus,"₹ 6,57,300"
121,Audi,Q5,2018,"62,000 km",--,Diesel,Others,"₹ 48,00,000"
122,Tata,Nexon,2018,"28,000 km",1st,Petrol,1.2 Revotron XM,"₹ 6,95,000"
123,Nissan,Micra,2012,"75,000 km",1st,Diesel,XV D,"₹ 2,25,000"
124,--,--,--,--,--,--,--,--
125,Maruti Suzuki,800,2002,"41,000 km",1st,Petrol,AC BSII,"₹ 85,000"
126,Maruti Suzuki,Swift Dzire,2020,"16,230 km",1st,Petrol,VXI,"₹ 7,90,000"
127,Maruti Suzuki,Ertiga,2013,"26,000 km",1st,Petrol,VXI,"₹ 5,95,000"
128,Chevrolet,Tavera,2008,"96,000 km",3rd,Diesel,2003-2007 B1 10 seats BSIII BG,"₹ 2,50,000"
129,Nissan,Terrano,2014,"99,000 km",2nd,Diesel,XV D THP 110 PS,"₹ 4,00,000"
130,Mahindra,Scorpio,2008,"181,000 km",2nd,Diesel,2006-2009 DX 2.6 Turbo 8 Str,"₹ 2,20,000"
131,--,--,--,--,--,--,--,--
132,Maruti Suzuki,Alto,2005,"130,000 km",3rd,Petrol,2000-2005 LX,"₹ 72,000"
133,Maruti Suzuki,Alto 800,2018,"26,442 km",1st,Petrol,LXI,"₹ 3,10,000"
134,Maruti Suzuki,Baleno,2017,"39,000 km",2nd,Petrol,1.2 Delta,"₹ 5,91,000"
135,Toyota,Corolla Altis,2011,"100,000 km",2nd,Diesel,Altis J,"₹ 4,00,000"
136,Tata,Nano GenX,2016,"65,000 km",2nd,Petrol,XTA,"₹ 1,50,000"
137,Tata,Tiago,2017,"63,000 km",1st,Petrol,Others,"₹ 4,00,000"
138,Eicher Polaris,Multix,1998,"2,500 km",2nd,Diesel,AX +,"₹ 1,20,000"
139,Hyundai,EON,2017,"34,127 km",1st,Petrol,Era +,"₹ 2,85,000"
140,Tata,Indigo Ecs,2014,1 km,2nd,Diesel,eCS LS CR4 BS-IV,"₹ 1,75,000"
141,BMW,5 Series,2009,"96,000 km",2nd,Diesel,530d Highline Sedan,"₹ 9,00,000"
142,Ford,Ecosport,2015,21 km,2nd,Diesel,1.5 Diesel Titanium,"₹ 5,00,000"
143,Ambassador,Ambassador,2000,"80,000 km",2nd,Diesel,CLASSIC 1500 DSL AC,"₹ 55,000"
144,Honda,City,2015,"75,000 km",1st,Diesel,2015-2017 i DTec VX Option,"₹ 8,49,000"
145,Mahindra,XUV500,2016,"90,000 km",1st,Diesel,W10 AWD,"₹ 11,95,000"
146,Hyundai,Grand i10,2017,"68,500 km",1st,Diesel,1.2 CRDi Sportz Option,"₹ 4,35,001"
147,Maruti Suzuki,Celerio,2015,"77,000 km",2nd,Petrol,2014-2017 VXI,"₹ 3,99,000"
148,Maruti Suzuki,Wagon R Electric,2013,"39,000 km",1st,LPG,Others,"₹ 2,00,000"
149,Mahindra,Xylo,2012,"130,000 km",1st,Diesel,2012-2014 D2 BSIV,"₹ 2,25,000"
150,--,--,--,--,--,--,--,--
151,Toyota,Innova Crysta,2018,"48,000 km",1st,Diesel,2.8Z Automatic,"₹ 21,50,000"
152,Maruti Suzuki,Vitara Brezza,2017,"45,000 km",1st,Diesel,LDi Option,"₹ 6,99,000"
153,Maruti Suzuki,Swift Dzire,2017,"54,000 km",2nd,Diesel,LDI,"₹ 6,70,000"
154,Chevrolet,Enjoy,2016,"125,000 km",2nd,Diesel,1.3 TCDi LS 8,"₹ 2,30,000"
155,Maruti Suzuki,Wagon R Duo,2011,"81,000 km",1st,Petrol,Others,"₹ 2,10,000"
156,Hyundai,i20,2012,"60,000 km",2nd,Diesel,2010-2012 1.2 Magna,"₹ 3,75,000"
157,Volkswagen,Polo,2017,"71,000 km",1st,Petrol,1.2 MPI Comfortline,"₹ 5,15,000"
158,Mercedes-Benz,S-Class,2010,"70,200 km",--,Diesel,--,"₹ 14,02,000"
159,Maruti Suzuki,800,2003,"93,953 km",3rd,LPG,AC,"₹ 99,000"
160,Chevrolet,Cruze,2013,"94,200 km",2nd,Diesel,2014-2016 LT,"₹ 5,30,000"
161,Maruti Suzuki,Alto 800,2019,"25,000 km",1st,Petrol,VXI,"₹ 3,05,000"
162,Maruti Suzuki,Estilo,2013,"40,000 km",2nd,Petrol,LXi BS-IV,"₹ 2,15,000"
163,Maruti Suzuki,Omni,2016,"34,000 km",2nd,Petrol,Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,"₹ 2,10,000"
164,Hyundai,i20,2013,"83,000 km",1st,Diesel,2012-2014 Asta 1.4 CRDi,"₹ 4,10,000"
165,Mahindra,Bolero,2007,"70,000 km",2nd,Diesel,2001-2010 DI Non AC BSIII,"₹ 2,35,000"
166,Renault,KWID,2019,"6,172 km",1st,Petrol,1.0 RXL 02 Anniversary Edition,"₹ 3,75,000"
167,Maruti Suzuki,Alto,2010,"44,000 km",2nd,Petrol,LXi,"₹ 1,80,000"
168,Toyota,Qualis,2001,"251,000 km",4th,Diesel,GS G4,"₹ 2,11,000"
169,Mahindra,Quanto,2013,"88,000 km",2nd,Diesel,C4,"₹ 2,80,000"
170,Ford,Ecosport,2020,"7,000 km",1st,Petrol,1.5 Petrol Titanium Plus AT,"₹ 11,50,000"
171,--,--,--,--,--,--,--,--
172,Renault,Kwid EV,2016,"66,600 km",1st,--,--,"₹ 2,70,000"
173,Fiat,Punto,2013,"73,000 km",1st,Diesel,Active 1.3,"₹ 2,50,000"
174,Tata,Nexon,2018,"11,000 km",1st,Diesel,1.5 Revotorq XZA Plus DualTone,"₹ 9,25,000"
175,Maruti Suzuki,Swift,2012,"60,000 km",2nd,Diesel,2011-2014 RS VDI,"₹ 3,44,999"
176,Mercedes-Benz,S-Class,2010,"70,000 km",--,Diesel,--,"₹ 14,00,000"
177,Tata,Nano,2010,"37,000 km",2nd,Petrol,2012-2015 LX,"₹ 65,000"
178,Tata,Manza,2012,"200,000 km",4th,Diesel,Manza Aura ABS Quadrajet BS-III,"₹ 2,25,000"
179,Mahindra,XUV500,2012,"67,000 km",1st,Diesel,W8 4WD,"₹ 4,99,001"
180,Honda,Brio,2013,"57,500 km",1st,Petrol,2013-2016 EX MT,"₹ 2,50,000"
181,Maruti Suzuki,Swift,2014,"86,000 km",2nd,Diesel,VDI,"₹ 4,69,000"
182,Toyota,Innova,2011,"220,000 km",4th,Diesel,2.5 G (Diesel) 7 Seater BS IV,"₹ 4,40,000"
183,Maruti Suzuki,Swift,2016,"72,000 km",2nd,Diesel,ZDi,"₹ 5,50,000"
184,Maruti Suzuki,Swift,2008,"38,000 km",2nd,Petrol,2004-2010 VXI BSIII,"₹ 1,99,000"
185,Maruti Suzuki,Alto 800,2015,"25,000 km",2nd,Petrol,2012-2016 CNG LXI,"₹ 1,95,000"
186,BMW,X1,2019,"24,000 km",1st,Petrol,sDrive20i xLine,"₹ 31,90,000"
187,Maruti Suzuki,Alto,2008,"60,000 km",2nd,Petrol,LXi,"₹ 1,70,000"
188,Toyota,Etios,2015,"49,000 km",1st,Petrol,1.5 V,"₹ 4,35,000"
189,Mahindra,Xylo,2013,"84,000 km",2nd,Diesel,D4,"₹ 4,25,000"
190,Skoda,Laura,2012,"110,000 km",1st,Diesel,Laura 1.8 TSI Ambiente,"₹ 5,75,000"
191,Hyundai,Elite i20,2014,"52,000 km",1st,Petrol,Magna 1.2,"₹ 4,75,000"
192,Volkswagen,Vento,2015,"61,200 km",1st,Diesel,1.5 TDI Highline,"₹ 5,71,143"
193,Maruti Suzuki,Swift Dzire,2016,"200,000 km",2nd,Diesel,Swift Dzire Tour,"₹ 2,80,000"
194,Mahindra,Scorpio,2013,"89,000 km",2nd,Diesel,--,"₹ 5,75,000"
195,Hyundai,Accent,2014,"73,000 km",2nd,Diesel,Others,"₹ 4,50,000"
196,--,--,--,--,--,--,--,
197,Honda,Brio,2012,"75,000 km",2nd,Petrol,1.2 S MT,"₹ 3,25,000"
198,Mercedes-Benz,Others,2012,"61,200 km",--,Diesel,--,"₹ 12,52,000"
199,Maruti Suzuki,Omni,2004,"68,000 km",2nd,Petrol,MPI CARGO BSIII W/ IMMOBILISER,"₹ 85,000"
200,Hyundai,i20,2012,"79,000 km",1st,Diesel,2010-2012 1.2 Magna,"₹ 2,30,000"
201,Maruti Suzuki,Eeco,2016,"68,500 km",2nd,Petrol,5 STR With AC Plus HTR (CNG),"₹ 3,65,000"
202,Hyundai,i10,2008,"72,653 km",2nd,Petrol,2007-2010 Magna 1.1,"₹ 1,80,000"
203,Honda,Accord,2008,"104,000 km",1st,Petrol,Accord 2.4 Automatic,"₹ 2,90,000"
204,Mercedes-Benz,E-Class,2014,"87,000 km",1st,Diesel,E 250 Elegance,"₹ 13,50,000"
205,Hyundai,i10,2010,"59,950 km",1st,Petrol,2007-2010 Magna 1.1,"₹ 1,75,000"
206,Honda,Jazz,2011,"46,000 km",2nd,Petrol,2011-2013 X,"₹ 2,95,000"
207,Nissan,Micra,2013,"49,000 km",1st,Petrol,XV CVT,"₹ 3,60,000"
208,Ford,Figo,2015,"62,000 km",--,Diesel,--,"₹ 1,89,000"
209,Chevrolet,Beat,2015,"35,000 km",--,Petrol,--,"₹ 1,89,000"
210,Toyota,Corolla Altis,2015,"57,000 km",1st,Diesel,2013-2017 D-4D JS,"₹ 8,50,000"
211,Maruti Suzuki,Baleno,2019,"58,546 km",--,Petrol,--,"₹ 7,55,000"
212,Ford,Ecosport,2014,"49,000 km",1st,Petrol,1.0 Ecoboost Titanium Plus,"₹ 5,75,000"
213,Toyota,Innova,2011,"63,000 km",--,Diesel,--,"₹ 5,75,000"
214,Maruti Suzuki,Wagon R 1.0,2011,"58,000 km",--,CNG & Hybrids,--,"₹ 2,00,000"
215,Maruti Suzuki,A-Star,2014,"36,000 km",--,Petrol,--,"₹ 2,25,000"
216,Maruti Suzuki,Eeco,2014.0,"48,000 km",--,Petrol,--,"₹ 2,50,000"
217,Chevrolet,Cruze,2011.0,"35,000 km",--,Diesel,--,"₹ 3,50,000"
218,Maruti Suzuki,Eeco,2011.0,"58,000 km",--,CNG & Hybrids,--,"₹ 1,90,000"
219,Maruti Suzuki,Swift,2012.0,"51,000 km",--,Diesel,--,"₹ 3,25,000"
220,Maruti Suzuki,Swift Dzire,2008,"58,000 km",--,Petrol,--,"₹ 1,50,000"
221,Maruti Suzuki,SX4,2007,"62,000 km",--,Petrol,--,"₹ 1,40,000"
222,Maruti Suzuki,Eeco,2011,"65,000 km",--,CNG & Hybrids,--,"₹ 1,60,000"
223,Maruti Suzuki,Swift,2011.0,"55,000 km",--,CNG & Hybrids,--,"₹ 3,00,000"
224,Maruti Suzuki,Swift Dzire,2012,"45,000 km",--,Diesel,--,"₹ 3,50,000"
225,Honda,City,2009,"60,000 km",3rd,Petrol,S Manual CNG,"₹ 2,35,000"
226,Hyundai,i20,2012.0,"52,000 km",--,Petrol,--,"₹ 3,30,000"
227,Maruti Suzuki,Swift,2014,"54,000 km",--,Petrol,--,"₹ 3,50,000"
228,Maruti Suzuki,Wagon R 1.0,2013,"52,000 km",1st,CNG & Hybrids,Wagon R 1.0 LXi CNG,"₹ 2,50,000"
229,Chevrolet,Cruze,2011,"59,000 km",--,Diesel,--,"₹ 3,50,000"
230,Renault,Duster,2017,"45,200 km",1st,Diesel,85PS Diesel RxZ,"₹ 7,45,000"
231,Honda,City,2010,"35,000 km",1st,Petrol,2011-2013 VTEC,"₹ 3,15,000"
232,Mahindra,XUV500,2014,"89,263 km",1st,Diesel,W6 2WD,"₹ 6,11,000"
233,Hyundai,i20,2013,"72,000 km",2nd,Diesel,Magna 1.4 CRDI 6 Speed,"₹ 4,15,000"
234,Hyundai,Santa Fe,2012,"78,000 km",1st,Diesel,2009-2013 4X2,"₹ 5,85,000"
235,Maruti Suzuki,Swift Dzire,2015,"55,000 km",1st,Diesel,VDI Optional,"₹ 6,01,000"
236,Hyundai,i20,2013,"88,000 km",1st,Diesel,Diesel Asta,"₹ 4,21,000"
237,Skoda,Superb,2015,"61,567 km",1st,Petrol,2013-2015 Elegance 1.8 TSI AT,"₹ 9,95,000"
238,Mahindra,Thar,2017,"46,000 km",2nd,Diesel,CRDE 4X4 BS IV,"₹ 8,20,000"
239,Tata,Nexon,2021,123 km,1st,Diesel,1.2 Revotron XM,"₹ 70,000"
240,Hyundai,Creta,2018,"20,000 km",2nd,Petrol,1.6 SX Plus,"₹ 11,75,000"
241,Maruti Suzuki,Alto,2009,"28,000 km",2nd,Petrol,2000-2005 LXI,"₹ 1,70,000"
242,Renault,KWID,2015,"11,666 km",1st,Petrol,RXL,"₹ 2,95,000"
243,--,--,--,--,--,--,--,"₹ 49,00,000"
244,--,--,--,--,--,--,--,"₹ 49,00,000"
245,--,--,--,--,--,--,--,"₹ 54,00,000"
246,--,--,--,--,--,--,--,"₹ 49,00,000"
247,--,--,--,--,--,--,--,"₹ 49,90,000"
248,--,--,--,--,--,--,--,"₹ 49,00,000"
249,--,--,--,--,--,--,--,"₹ 49,90,000"
250,Jeep,Compass,2019,"32,000 km",1st,Petrol,1.4 Limited Option,"₹ 16,75,000"
251,Honda,City,2014,"75,000 km",1st,Diesel,2015-2017 i DTec S,"₹ 5,20,000"
252,--,--,--,--,--,--,--,--
253,Maruti Suzuki,Swift Dzire,2017,"36,000 km",1st,Diesel,AMT VDI,"₹ 6,90,000"
254,Audi,Q7,2013,"65,000 km",2nd,Diesel,35 TDI Premium Plus + Sunroof,"₹ 22,75,000"
255,--,--,--,--,--,--,--,"₹ 1,432"
256,Honda,City,2009,"116,000 km",2nd,Petrol,i-VTEC S,"₹ 3,35,000"
257,Maruti Suzuki,Wagon R 1.0,2014,"47,000 km",2nd,CNG & Hybrids,Wagon R 1.0 LXi CNG,"₹ 2,75,000"
258,Ford,Ecosport,2014,"64,000 km",2nd,Diesel,1.5 Diesel Titanium,"₹ 4,95,000"
259,Toyota,Innova,2010,"59,000 km",--,Diesel,--,"₹ 4,00,000"
260,Maruti Suzuki,Wagon R 1.0,2012.0,"53,000 km",--,CNG & Hybrids,--,"₹ 2,50,000"
261,--,--,--,--,--,--,--,--
262,Volvo,XC 90,2008,"51,000 km",1st,Petrol,3.2 AWD,"₹ 7,90,000"
263,Hyundai,Elite i20,2015,"75,000 km",1st,Diesel,Asta Option Diesel,"₹ 5,25,000"
264,Honda,City,2010.0,"49,000 km",2nd,CNG & Hybrids,V Manual CNG Compatible,"₹ 3,00,000"
265,Toyota,Innova,2010.0,"77,000 km",1st,Diesel,2.5 VX 7-STR,"₹ 5,50,000"
266,Maruti Suzuki,Wagon R 1.0,2011.0,"53,000 km",2nd,Petrol,1.0 VXi,"₹ 2,10,000"
267,--,--,--,--,--,--,--,--
268,Toyota,Innova,2013,"71,000 km",--,Diesel,--,"₹ 7,50,000"
269,Maruti Suzuki,A-Star,2009,"55,000 km",--,Petrol,--,"₹ 1,50,000"
270,Volkswagen,Vento,2011,"54,000 km",--,Petrol,--,"₹ 2,75,000"
271,Mahindra,Xylo,2019,"33,000 km",1st,Diesel,H4 BS IV,"₹ 9,00,000"
272,Hyundai,i20,2014,"69,000 km",2nd,--,1.4 Asta,"₹ 5,25,000"
273,Volkswagen,Vento,2012,"78,000 km",1st,Diesel,1.5 TDI Highline,"₹ 4,29,000"
274,Skoda,Rapid,2016,"36,000 km",1st,Petrol,1.6 MPI Ambition,"₹ 7,10,000"
275,Maruti Suzuki,Alto 800,2015,"32,000 km",2nd,Petrol,LXI,"₹ 2,40,000"
276,Datsun,Redi Go,2018,"21,000 km",1st,Petrol,Others,"₹ 2,49,000"
277,Toyota,Etios,2016,"43,000 km",1st,Petrol,1.5 VX,"₹ 4,85,000"
278,Toyota,Fortuner,2011,"190,300 km",1st,Diesel,3.0 4x4 Manual,"₹ 9,85,000"
279,Maruti Suzuki,Swift Dzire,2018,"50,000 km",1st,Petrol,ZXI,"₹ 6,65,000"
280,Toyota,Innova,2012,"132,000 km",1st,Diesel,2.5 V 7 STR,"₹ 12,50,000"
